,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
249,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2017,Manual,"39,936",1st,Petrol,"6,66,599","14,828/month",Zero downpayment
250,Maruti Alto K10,Maruti,VXI ,2011,Manual,"44,202",2nd,Petrol,"2,44,799","5,445/month",Zero downpayment
251,Honda City,Honda,VX MT PETROL ,2017,Manual,"30,247",1st,Petrol,"10,12,899","22,531/month",Zero downpayment
252,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2017,Manual,"56,285",1st,Petrol,"6,39,199","14,219/month",Zero downpayment
253,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2017,Manual,"58,379",1st,Petrol,"6,25,399","13,912/month",Zero downpayment
254,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2017,Manual,"21,145",1st,Petrol,"6,36,899","14,167/month",Zero downpayment
255,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2017,Manual,"42,893",2nd,Petrol,"6,28,699","13,985/month",Zero downpayment
256,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2017,Manual,"60,302",1st,Petrol,"6,37,399","14,179/month",Zero downpayment
257,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2017,Manual,"34,706",2nd,Petrol,"6,31,899","14,056/month",Zero downpayment
258,Maruti Baleno,Maruti,LPHA 1.2 K12 AMT ,2017,Automatic,"22,993",2nd,Petrol,"6,89,799","15,344/month",Zero downpayment
259,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2017,Manual,"32,240",1st,Petrol,"6,10,499","13,580/month",Zero downpayment
260,Maruti Baleno,Maruti,RS 1.0 PETROL ,2017,Manual,"51,125",2nd,Petrol,"6,06,699","13,496/month",Zero downpayment
261,Renault Kwid,Renault,1.0 RXT Opt ,2018,Manual,"42,053",1st,Petrol,"3,87,499","8,620/month",Zero downpayment
262,Maruti Baleno,Maruti,RS 1.0 PETROL ,2017,Manual,"47,742",2nd,Petrol,"6,37,499","14,181/month",Zero downpayment
263,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2017,Manual,"37,735",1st,Petrol,"6,10,499","13,580/month",Zero downpayment
264,Honda City,Honda,V MT PETROL ,2012,Manual,"79,174",2nd,Petrol,"4,51,699","10,048/month",Zero downpayment
265,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2016,Manual,"53,306",1st,Diesel,"6,78,199","15,086/month",Zero downpayment
266,Hyundai Elite i20,Hyundai,STA 1.2 ,2017,Manual,"18,594",2nd,Petrol,"6,30,599","14,027/month",Zero downpayment
267,Nissan Micra,Nissan,XL CVT (PETROL) ,2017,Automatic,"30,705",1st,Petrol,"5,61,199","12,484/month",Zero downpayment
268,Maruti Celerio,Maruti,VXI ,2015,Manual,"65,783",1st,Petrol,"3,94,799","8,782/month",Zero downpayment
269,Maruti Celerio,Maruti,VXI ,2014,Manual,"32,164",1st,Petrol,"3,91,699","8,713/month",Zero downpayment
270,Maruti Celerio,Maruti,VXI AMT ,2015,Automatic,"1,30,436",1st,Petrol,"3,85,999","8,586/month",Zero downpayment
271,Volkswagen Polo,Volkswagen,COMFORTLINE 1.0 PETROL ,2019,Manual,"20,975",1st,Petrol,"6,24,999","13,903/month",Zero downpayment
272,Maruti Swift Dzire,Maruti,ZXI 1.2 BS IV ,2016,Manual,"36,771",1st,Petrol,"5,74,299","12,775/month",Zero downpayment
273,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2017,Manual,"55,940",1st,Petrol,"6,10,499","13,580/month",Zero downpayment
274,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2018,Manual,"29,115",1st,Petrol,"6,37,699","14,185/month",Zero downpayment
275,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2016,Manual,"85,893",1st,Diesel,"6,96,999","15,504/month",Zero downpayment
276,Honda Jazz,Honda,1.2 V AT ,2017,Automatic,"36,983",2nd,Petrol,"6,55,499","14,581/month",Zero downpayment
277,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2018,Manual,"22,858",2nd,Petrol,"5,44,099","12,103/month",Zero downpayment
278,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2014,Manual,"45,339",1st,Petrol,"4,32,999","9,632/month",Zero downpayment
279,Hyundai Elite i20,Hyundai,1.2 MAGNA PLUS VTVT ,2019,Manual,"17,062",1st,Petrol,"6,72,399","14,957/month",Zero downpayment
280,Hyundai Elite i20,Hyundai,STA 1.2 DUAL TONE ,2018,Manual,"32,989",2nd,Petrol,"6,73,599","14,984/month",Zero downpayment
281,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,"47,755",1st,Petrol,"6,23,199","13,863/month",Zero downpayment
282,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2017,Manual,"13,517",2nd,Petrol,"6,70,799","14,922/month",Zero downpayment
283,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2019,Manual,"20,371",1st,Petrol,"7,01,399","15,602/month",Zero downpayment
284,Renault Kwid,Renault,RXT Opt ,2019,Manual,"44,533",1st,Petrol,"3,94,199","8,769/month",Zero downpayment
285,Honda Jazz,Honda,1.2 V AT ,2017,Automatic,"25,128",1st,Petrol,"7,12,199","15,842/month",Zero downpayment
286,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2012,Manual,"1,60,596",2nd,Petrol,"3,84,099","8,544/month",Zero downpayment
287,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,"45,972",1st,Petrol,"6,36,199","14,152/month",Zero downpayment
288,Maruti Celerio,Maruti,ZXI AMT ,2015,Automatic,"27,435",1st,Petrol,"4,31,099","9,590/month",Zero downpayment
289,Hyundai Elite i20,Hyundai,STA 1.2 (O) ,2018,Manual,"59,079",1st,Petrol,"6,83,699","15,209/month",Zero downpayment
290,Maruti IGNIS,Maruti,DELTA 1.2 K12 ,2018,Manual,"63,423",1st,Petrol,"5,48,699","12,206/month",Zero downpayment
291,Maruti IGNIS,Maruti,DELTA 1.2 K12 ,2018,Manual,"18,113",1st,Petrol,"5,48,699","12,206/month",Zero downpayment
292,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2013,Manual,"61,514",3rd,Petrol,"4,10,199","9,125/month",Zero downpayment
293,Renault Kwid,Renault,1.0 CLIMBER OPT AMT ,2020,Automatic,"2,021",1st,Petrol,"5,19,099","11,547/month",Zero downpayment
294,Maruti IGNIS,Maruti,SIGMA 1.2 K12 ,2018,Manual,"20,353",1st,Petrol,"4,82,699","10,737/month",Zero downpayment
295,Maruti IGNIS,Maruti,SIGMA 1.2 K12 ,2018,Manual,"15,994",1st,Petrol,"4,89,599","10,891/month",Zero downpayment
296,Maruti Swift Dzire,Maruti,LDI BS IV ,2013,Manual,"95,428",1st,Diesel,"4,17,699","9,291/month",Zero downpayment
297,Renault Kwid,Renault,1.0 CLIMBER OPT AMT ,2020,Automatic,"7,573",1st,Petrol,"5,14,399","11,443/month",Zero downpayment
298,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2019,Manual,"41,999",1st,Petrol,"7,01,399","15,602/month",Zero downpayment
299,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,"30,123",1st,Petrol,"6,51,399","14,490/month",Zero downpayment
300,Hyundai Elite i20,Hyundai,1.2 MAGNA PLUS VTVT ,2019,Manual,"41,936",1st,Petrol,"6,57,299","14,621/month",Zero downpayment
301,Honda Jazz,Honda,1.2 V MT ,2017,Manual,"43,369",1st,Petrol,"6,31,799","14,054/month",Zero downpayment
302,Maruti Swift Dzire,Maruti,ZDI ,2016,Manual,"1,66,618",1st,Diesel,"5,84,199","12,995/month",Zero downpayment
303,Hyundai Elite i20,Hyundai,1.2 SPORTS PLUS VTVT ,2019,Manual,"44,661",1st,Petrol,"6,90,599","15,362/month",Zero downpayment
304,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,"39,355",1st,Petrol,"6,69,099","14,884/month",Zero downpayment
305,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2018,Manual,"58,978",1st,Petrol,"6,56,299","14,599/month",Zero downpayment
306,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,"58,547",1st,Petrol,"6,54,199","14,552/month",Zero downpayment
307,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2019,Manual,"55,143",1st,Petrol,"6,75,499","15,026/month",Zero downpayment
308,Maruti Celerio,Maruti,VXI AMT ,2014,Automatic,"66,799",4th,Petrol,"3,68,599","8,199/month",Zero downpayment
309,Hyundai Elite i20,Hyundai,1.2 MAGNA PLUS VTVT ,2019,Manual,"31,191",1st,Petrol,"6,78,299","15,088/month",Zero downpayment
310,Maruti IGNIS,Maruti,DELTA 1.2 K12 ,2018,Manual,"24,679",1st,Petrol,"5,48,699","12,206/month",Zero downpayment
