,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
47,Maruti Swift,Maruti,VXI ,2018,Manual,"36,905",1st,Petrol,"5,37,899","11,965/month",Zero downpayment
48,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2012,Manual,"65,238",1st,Petrol,"3,49,399","7,772/month",Zero downpayment
49,Maruti Dzire,Maruti,VXI ,2018,Manual,"28,902",1st,Petrol,"5,86,399","13,044/month",Zero downpayment
50,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2013,Manual,"60,640",2nd,Petrol,"3,63,099","8,077/month",Zero downpayment
51,Maruti Dzire,Maruti,VXI ,2018,Manual,"25,308",1st,Petrol,"6,78,799","15,100/month",Zero downpayment
52,Hyundai Elite i20,Hyundai,STA 1.2 (O) ,2018,Manual,"15,556",1st,Petrol,"6,50,099","14,461/month",Zero downpayment
53,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2012,Manual,"59,178",1st,Petrol,"3,56,799","7,937/month",Zero downpayment
54,Maruti Dzire,Maruti,ZXI Plus ,2018,Manual,"55,711",1st,Petrol,"6,94,399","15,447/month",Zero downpayment
55,Maruti Swift,Maruti,VXI ,2018,Manual,"79,284",1st,Petrol,"5,37,899","11,965/month",Zero downpayment
56,Hyundai i20,Hyundai,SPORTZ 1.4 CRDI ,2014,Manual,"78,007",2nd,Diesel,"3,59,599","7,999/month",Zero downpayment
57,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2015,Manual,"10,233",1st,Petrol,"4,00,199","8,902/month",Zero downpayment
58,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,"4,171",1st,Petrol,"5,86,199","13,040/month",Zero downpayment
59,Maruti Swift Dzire,Maruti,VDI BS IV ,2012,Manual,"49,670",3rd,Diesel,"3,62,099","8,055/month",Zero downpayment
60,Honda Amaze,Honda,1.2 SMT I VTEC ,2015,Manual,"51,623",2nd,Petrol,"3,36,399","7,483/month",Zero downpayment
61,Maruti Dzire,Maruti,VXI ,2017,Manual,"50,856",1st,Petrol,"5,74,399","12,777/month",Zero downpayment
62,Jeep Compass,Jeep,LIMITED O 1.4 AT ,2017,Automatic,"38,602",2nd,Petrol,"12,18,199","27,098/month",Zero downpayment
63,Maruti Dzire,Maruti,VXI ,2017,Manual,"43,421",1st,Petrol,"5,49,599","12,226/month",Zero downpayment
64,Hyundai i20 Active,Hyundai,1.2 S ,2015,Manual,"47,204",1st,Petrol,"4,83,099","10,746/month",Zero downpayment
65,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2013,Manual,"34,646",2nd,Petrol,"4,05,499","9,020/month",Zero downpayment
66,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2012,Manual,"78,628",1st,Petrol,"3,63,899","8,095/month",Zero downpayment
67,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2013,Manual,"1,04,992",1st,Petrol,"3,57,899","7,961/month",Zero downpayment
68,Ford Ecosport,Ford,1.5 TITANIUM TI VCT ,2018,Manual,"10,753",1st,Petrol,"7,78,499","17,317/month",Zero downpayment
69,Maruti New  Wagon-R,Maruti,1.0 VXI (O) ,2020,Manual,"5,004",1st,Petrol,"6,50,899","14,479/month",Zero downpayment
70,Maruti IGNIS,Maruti,LPHA 1.2 K12 ,2018,Manual,"38,316",1st,Petrol,"5,49,999","12,234/month",Zero downpayment
71,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2016,Manual,"69,855",1st,Petrol,"4,75,899","10,586/month",Zero downpayment
72,Hyundai i20,Hyundai,SPORTZ 1.2 VTVT ,2013,Manual,"84,343",1st,Petrol,"3,63,999","8,097/month",Zero downpayment
73,Maruti Vitara Brezza,Maruti,VDI OPT ,2018,Manual,"71,059",1st,Diesel,"7,86,499","17,495/month",Zero downpayment
74,Hyundai i20 Active,Hyundai,1.2 S ,2016,Manual,"1,00,848",1st,Petrol,"4,78,499","10,644/month",Zero downpayment
75,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2014,Manual,"31,351",1st,Petrol,"4,19,299","9,327/month",Zero downpayment
