,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
50,Maruti Swift,Maruti,VXI ,2014,Manual,"51,290",1st,Petrol,"4,93,499","10,978/month",Zero downpayment
51,Renault Kwid,Renault,CLIMBER 1.0 AT ,2017,,"13,993",1st,Petrol,"4,72,599","10,513/month",Zero downpayment
52,Maruti Swift,Maruti,VXI ,2014,Manual,"40,846",1st,Petrol,"4,93,499","10,978/month",Zero downpayment
53,Renault Kwid,Renault,RXL1.0 EASY-R AT ,2017,Automatic,"26,371",1st,Petrol,"4,22,999","9,409/month",Zero downpayment
54,Maruti Swift,Maruti,VXI ,2015,Manual,"38,049",1st,Petrol,"5,22,999","11,634/month",Zero downpayment
55,Honda Brio,Honda,1.2 S MT I VTEC ,2016,Manual,"26,015",1st,Petrol,"4,55,299","10,128/month",Zero downpayment
56,Renault Kwid,Renault,CLIMBER 1.0 AT ,2017,,"18,379",1st,Petrol,"4,78,999","10,655/month",Zero downpayment
57,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2018,Manual,"42,934",1st,Petrol,"5,62,999","12,524/month",Zero downpayment
58,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2018,Manual,"27,664",2nd,Petrol,"5,62,999","12,524/month",Zero downpayment
59,Renault Kwid,Renault,RXL1.0 EASY-R AT ,2017,Automatic,"15,883",1st,Petrol,"4,22,999","9,409/month",Zero downpayment
60,Renault Kwid,Renault,RXL1.0 EASY-R AT ,2017,Automatic,"18,163",1st,Petrol,"4,22,999","9,409/month",Zero downpayment
61,Tata Tiago,Tata,XZ 1.2 REVOTRON ,2018,Manual,"30,545",1st,Petrol,"5,37,499","11,956/month",Zero downpayment
62,Renault Kwid,Renault,1.0 RXT ,2018,Manual,"32,381",1st,Petrol,"3,84,899","8,562/month",Zero downpayment
63,Hyundai Eon,Hyundai,GNA PLUS ,2014,Manual,"56,213",2nd,Petrol,"3,23,399","7,194/month",Zero downpayment
64,Honda Brio,Honda,1.2 VX MT I VTEC ,2013,Manual,"50,160",2nd,Petrol,"4,00,999","8,920/month",Zero downpayment
65,Hyundai Eon,Hyundai,GNA PLUS ,2014,Manual,"78,895",1st,Petrol,"3,23,399","7,194/month",Zero downpayment
