,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
263,Ford Figo Aspire,Ford,1.5 TITANIUM DIESEL ,2017,Manual,"96,208",1st,Diesel,"30,699",581/month,Zero downpayment
264,Hyundai Xcent,Hyundai,SX 1.2 ,2017,Manual,"32,905",1st,Petrol,"82,299",",953/month",Zero downpayment
265,Datsun Redi Go,Datsun,T (O) ,2018,Manual,"8,368",1st,Petrol,"10,299",902/month,Zero downpayment
266,Datsun Redi Go,Datsun,T (O) ,2018,Manual,"23,684",2nd,Petrol,"96,699",600/month,Zero downpayment
267,Hyundai Elite i20,Hyundai,STA 1.2 ,2014,Manual,"41,327",1st,Petrol,"54,299",",330/month",Zero downpayment
268,Volkswagen Polo,Volkswagen,Trendline 1.0 L Petrol ,2019,Manual,"29,952",1st,Petrol,"20,899",",587/month",Zero downpayment
269,Datsun Redi Go,Datsun,T (O) ,2019,Manual,"24,849",1st,Petrol,"73,799",091/month,Zero downpayment
270,Maruti Ertiga,Maruti,VDI SHVS ,2017,Manual,"47,111",1st,Diesel,"52,699",",743/month",Zero downpayment
271,Hyundai Creta,Hyundai,1.4 S PLUS CRDI ,2016,Manual,"1,39,300",1st,Diesel,"61,299",",935/month",Zero downpayment
272,Maruti Ciaz,Maruti,VXI ,2016,Manual,"75,343",1st,Petrol,"80,499",",913/month",Zero downpayment
273,Maruti S Cross,Maruti,ZETA 1.3 ,2015,Manual,"1,63,159",1st,Diesel,"33,899",",876/month",Zero downpayment
274,Hyundai i10,Hyundai,GNA 1.1 IRDE2 ,2014,Manual,"21,930",2nd,Petrol,"41,699",601/month,Zero downpayment
275,Ford Figo Aspire,Ford,1.2 TITANIUM PETROL ,2018,Manual,"47,161",1st,Petrol,"22,499",",623/month",Zero downpayment
276,Hyundai i20 Active,Hyundai,1.2 S ,2015,Manual,"45,456",1st,Petrol,"40,799",",030/month",Zero downpayment
277,Hyundai Verna,Hyundai,1.6 SX VTVT ,2017,Manual,"48,984",1st,Petrol,"28,399",",427/month",Zero downpayment
278,Hyundai Elite i20,Hyundai,STA 1.2 (O) ,2016,Manual,"57,984",1st,Petrol,"56,699",",608/month",Zero downpayment
279,Maruti S Cross,Maruti,DELTA SHVS ,2019,Manual,"54,334",1st,Diesel,"04,099",",662/month",Zero downpayment
280,Hyundai Elite i20,Hyundai,STA 1.4 CRDI ,2016,Manual,"59,516",3rd,Diesel,"96,799",",275/month",Zero downpayment
281,Maruti Ciaz,Maruti,LPHA 1.3 DDIS SHVS ,2017,Manual,"57,350",2nd,Diesel,"60,099",",684/month",Zero downpayment
282,Volkswagen Polo,Volkswagen,HIGHLINE1.2L PETROL ,2016,Manual,"39,182",1st,Petrol,"78,599",",871/month",Zero downpayment
283,Maruti Dzire,Maruti,VXI ,2018,Manual,"26,872",1st,Petrol,"24,499",",892/month",Zero downpayment
284,Maruti Ciaz,Maruti,lpha 1.5 Diesel ,2019,,"35,940",2nd,Diesel,"22,699",",300/month",Zero downpayment
285,Renault Kwid,Renault,1.0 RXT Opt ,2018,Manual,"29,528",1st,Petrol,"54,699",890/month,Zero downpayment
286,Jeep Compass,Jeep,LIMITED 1.4 AT ,2017,Automatic,"62,608",1st,Petrol,",44,099",",674/month",Zero downpayment
287,Maruti S Cross,Maruti,ZETA 1.3 ,2017,Manual,"59,904",1st,Diesel,"23,699",",098/month",Zero downpayment
288,Hyundai i20,Hyundai,SPORTZ 1.2 VTVT ,2014,Manual,"48,504",3rd,Petrol,"40,999",810/month,Zero downpayment
289,Hyundai Verna,Hyundai,1.6 CRDI SX ,2019,Manual,"42,037",2nd,Diesel,"88,099",",755/month",Zero downpayment
290,Maruti Baleno,Maruti,DELTA DDIS 190 ,2018,Manual,"68,152",1st,Diesel,"15,499",",467/month",Zero downpayment
291,Hyundai Verna,Hyundai,1.6 SX VTVT ,2019,Manual,"3,863",1st,Petrol,"93,199",",093/month",Zero downpayment
292,Volkswagen Vento,Volkswagen,HIGHLINE PLUS 1.0 TSI AT ,2020,Automatic,"17,464",2nd,Petrol,"66,199",",493/month",Zero downpayment
293,Honda City,Honda,V MT PETROL ,2016,Manual,"86,821",1st,Petrol,"94,299",",444/month",Zero downpayment
294,Hyundai Xcent,Hyundai,S 1.2 ,2018,Manual,"78,203",1st,Petrol,"63,299",",530/month",Zero downpayment
295,Honda Amaze,Honda,1.2 SMT I VTEC ,2018,Manual,"13,972",2nd,Petrol,"04,299",",442/month",Zero downpayment
296,Renault Kiger,Renault,RXZ 1.0 MT ,2021,,"1,529",1st,Petrol,"71,299",",157/month",Zero downpayment
297,Volkswagen Polo,Volkswagen,HIGHLINE1.5L DIESEL ,2017,Manual,"67,127",1st,Diesel,"08,399",",533/month",Zero downpayment
298,Renault TRIBER,Renault,1.0 RXT ,2019,Manual,"25,854",1st,Petrol,"07,799",",520/month",Zero downpayment
299,Maruti Swift,Maruti,VXI ,2018,Manual,"35,240",1st,Petrol,"37,899",",965/month",Zero downpayment
300,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2016,Manual,"85,463",1st,Petrol,"90,899",",920/month",Zero downpayment
301,Maruti New  Wagon-R,Maruti,LXI 1.0 L ,2020,Manual,"10,098",1st,Petrol,"12,899",",409/month",Zero downpayment
302,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2017,Manual,"3,036",1st,Petrol,"27,299",",954/month",Zero downpayment
303,Maruti Swift,Maruti,ZDI ,2015,Manual,"46,122",1st,Diesel,"48,699",",206/month",Zero downpayment
304,Toyota Fortuner,Toyota,3.0 MT 4X4 ,2012,Manual,"1,47,136",2nd,Diesel,",02,199",",518/month",Zero downpayment
305,Maruti Ertiga,Maruti,VDI SHVS LIMITED EDITION ,2018,Manual,"71,519",1st,Diesel,"67,599",",075/month",Zero downpayment
306,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE ,2017,Manual,"93,983",1st,Diesel,"71,899",",946/month",Zero downpayment
307,Maruti Ciaz,Maruti,LPHA 1.3 DDIS SHVS ,2019,Manual,"62,184",2nd,Diesel,"13,999",",107/month",Zero downpayment
308,Maruti Dzire,Maruti,VXI ,2020,Manual,"11,981",1st,Petrol,"19,599",",007/month",Zero downpayment
309,Hyundai Elite i20,Hyundai,SPORTZ 1.4 ,2017,Manual,"72,459",1st,Diesel,"16,899",",723/month",Zero downpayment
310,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE ,2016,Manual,"26,090",1st,Diesel,"09,899",",791/month",Zero downpayment
311,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE ,2016,Manual,"25,924",1st,Diesel,"31,699",",276/month",Zero downpayment
312,Hyundai Verna,Hyundai,1.6 CRDI SX + AT ,2018,Automatic,"54,720",1st,Diesel,"21,999",",509/month",Zero downpayment
313,Maruti Ertiga,Maruti,VDI SHVS ,2017,Manual,"1,07,488",2nd,Diesel,"79,799",",122/month",Zero downpayment
314,Maruti Swift,Maruti,VXI AMT ,2019,Automatic,"13,645",1st,Petrol,"79,399",",113/month",Zero downpayment
315,Hyundai Eon,Hyundai,GNA PLUS ,2017,Manual,"37,908",1st,Petrol,"23,199",189/month,Zero downpayment
316,Maruti S Cross,Maruti,ZETA 1.3 SHVS ,2018,Manual,"32,162",1st,Diesel,"40,499",",696/month",Zero downpayment
317,Honda Brio,Honda,1.2 S MT I VTEC ,2014,Manual,"86,695",2nd,Petrol,"33,999",430/month,Zero downpayment
318,Maruti Baleno,Maruti,DELTA DDIS 190 ,2017,Manual,"73,016",2nd,Diesel,"24,899",",676/month",Zero downpayment
319,Maruti Dzire,Maruti,VXI ,2019,Manual,"33,413",1st,Petrol,"64,399",",779/month",Zero downpayment
320,Toyota Innova,Toyota,2.5 VX 8 STR BS IV ,2013,Manual,"2,80,921",2nd,Diesel,"25,599",",141/month",Zero downpayment
321,Hyundai Verna,Hyundai,SX PETROL AT ,2020,Automatic,"22,836",1st,Petrol,",02,299",",744/month",Zero downpayment
322,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2019,Manual,"11,316",1st,Petrol,"27,399",",956/month",Zero downpayment
323,Hyundai i20,Hyundai,SPORTZ 1.2 VTVT ,2014,Manual,"96,231",1st,Petrol,"23,699",425/month,Zero downpayment
324,Maruti Alto 800,Maruti,LXI ,2014,Manual,"36,971",3rd,Petrol,"26,899",047/month,Zero downpayment
325,Mahindra XUV500,Mahindra,W10 ,2018,Manual,"70,384",1st,Diesel,",88,699",",218/month",Zero downpayment
326,Maruti New  Wagon-R,Maruti,VXI 1.2L ,2019,Manual,"4,118",1st,Petrol,"07,999",",300/month",Zero downpayment
327,Maruti Baleno,Maruti,DELTA DDIS 190 ,2017,Manual,"41,223",1st,Diesel,"87,099",",060/month",Zero downpayment
328,Maruti Dzire,Maruti,VXI ,2019,Manual,"14,874",1st,Petrol,"04,499",",671/month",Zero downpayment
329,Honda WR-V,Honda,1.5 i-DTEC VX MT ,2018,Manual,"39,984",2nd,Diesel,"69,899",",126/month",Zero downpayment
330,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,"16,970",1st,Petrol,"15,499",",691/month",Zero downpayment
331,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2015,Manual,"1,27,849",2nd,Diesel,"97,899",",075/month",Zero downpayment
332,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2020,Manual,282,1st,Petrol,"01,899",",613/month",Zero downpayment
333,Maruti Dzire,Maruti,VXI ,2019,Manual,"18,378",1st,Petrol,"11,499",",827/month",Zero downpayment
334,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2020,Manual,"15,275",1st,Petrol,"90,999",",371/month",Zero downpayment
335,Hyundai Eon,Hyundai,ERA PLUS ,2017,Manual,"15,122",1st,Petrol,"44,599",665/month,Zero downpayment
336,Hyundai VENUE,Hyundai,S MT 1.2 KAPPA ,2020,Manual,"1,420",1st,Petrol,"73,099",",197/month",Zero downpayment
337,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2020,Manual,208,1st,Petrol,"88,499",",315/month",Zero downpayment
