,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
338,Maruti Swift,Maruti,VXI ,2015,Manual,"11,026",1st,Petrol,"52,599",",068/month",Zero downpayment
339,Maruti Swift,Maruti,VDI ,2014,Manual,"54,884",1st,Diesel,"97,699",847/month,Zero downpayment
340,Maruti Swift Dzire,Maruti,VDI BS IV ,2014,Manual,"39,245",1st,Diesel,"58,599",",201/month",Zero downpayment
341,Maruti Swift,Maruti,VDI ,2014,Manual,"38,015",1st,Diesel,"91,699",713/month,Zero downpayment
342,Maruti Swift,Maruti,VXI ,2014,Manual,"17,135",2nd,Petrol,"09,999",120/month,Zero downpayment
343,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2013,Manual,"43,289",1st,Petrol,"90,199",680/month,Zero downpayment
344,Maruti Swift Dzire,Maruti,VDI ABS ,2015,Manual,"76,778",1st,Diesel,"47,099",945/month,Zero downpayment
345,Maruti Swift Dzire,Maruti,VDI ABS ,2015,Manual,"72,841",1st,Diesel,"76,799",",606/month",Zero downpayment
346,Maruti Swift,Maruti,VDI ABS ,2015,Manual,"69,806",1st,Diesel,"68,199",",415/month",Zero downpayment
347,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2015,Manual,"41,710",1st,Petrol,"12,999",187/month,Zero downpayment
348,Hyundai Grand i10,Hyundai,STA 1.2 KAPPA VTVT ,2016,Manual,"27,912",1st,Petrol,"13,899",",431/month",Zero downpayment
349,Maruti Swift,Maruti,VDI ABS ,2015,Manual,"46,856",1st,Diesel,"47,499",954/month,Zero downpayment
350,Maruti Swift,Maruti,LDI O ,2015,Manual,"46,168",1st,Diesel,"23,999",432/month,Zero downpayment
351,Maruti Swift,Maruti,VDI ABS ,2015,Manual,"33,242",1st,Diesel,"49,899",",008/month",Zero downpayment
352,Maruti Swift,Maruti,VDI ,2014,Manual,"45,750",1st,Diesel,"27,499",509/month,Zero downpayment
353,Maruti Swift,Maruti,VDI ABS ,2014,Manual,"38,070",1st,Diesel,"24,199",436/month,Zero downpayment
354,Maruti Swift,Maruti,VDI ABS ,2015,Manual,"28,043",1st,Diesel,"88,899",",875/month",Zero downpayment
355,Maruti Alto K10,Maruti,VXI ,2019,Manual,"44,280",1st,Petrol,"85,599",577/month,Zero downpayment
356,Maruti Ritz,Maruti,VDI ,2015,Manual,"76,854",1st,Diesel,"07,999",076/month,Zero downpayment
357,Maruti Ritz,Maruti,VDI ,2014,Manual,"42,295",1st,Diesel,"33,099",410/month,Zero downpayment
358,Maruti Alto K10,Maruti,VXI ,2016,Manual,"38,290",1st,Petrol,"12,199",945/month,Zero downpayment
359,Maruti Swift,Maruti,VDI ,2014,Manual,"39,011",1st,Diesel,"34,599",667/month,Zero downpayment
360,Toyota Corolla Altis,Toyota,1.8 G ,2011,Manual,"67,254",1st,Petrol,"06,799",",273/month",Zero downpayment
361,Maruti Swift,Maruti,VDI ABS ,2015,Manual,"53,260",1st,Diesel,"32,799",627/month,Zero downpayment
