,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment,city,state
0,Ford Ecosport,Ford,1.5 TITANIUMTDCI OPT ,2013,Manual,"1,79,045",1st,Diesel,"5,07,599","11,291/month",Zero downpayment,Hyderabad,Telangana
1,Maruti Swift,Maruti,ZDI ,2012,Manual,"78,819",2nd,Diesel,"4,76,699","10,604/month",Zero downpayment,Hyderabad,Telangana
2,Honda Mobilio,Honda,1.5 V OPT I DTEC ,2014,Manual,"97,289",2nd,Diesel,"4,94,799","11,007/month",Zero downpayment,Hyderabad,Telangana
3,Maruti Wagon R 1.0,Maruti,VXI ,2013,Manual,"45,693",2nd,Petrol,"3,31,999","7,385/month",Zero downpayment,Hyderabad,Telangana
4,Hyundai i20 Active,Hyundai,1.2 S ,2016,Manual,"40,586",1st,Petrol,"6,20,299","13,798/month",Zero downpayment,Hyderabad,Telangana
5,Maruti Alto K10,Maruti,VXI ,2015,Manual,"2,34,695",1st,Petrol,"2,73,299","6,079/month",Zero downpayment,Hyderabad,Telangana
6,Skoda Octavia,Skoda,Style 1.4 TSI MT ,2017,Manual,"47,264",1st,Petrol,"12,92,899","28,760/month",Zero downpayment,Hyderabad,Telangana
7,Maruti Vitara Brezza,Maruti,VDI ,2016,Manual,"1,53,631",1st,Diesel,"6,78,999","15,104/month",Zero downpayment,Hyderabad,Telangana
8,Honda City,Honda,V AT ,2010,Automatic,"1,52,381",1st,Petrol,"4,49,699","10,003/month",Zero downpayment,Hyderabad,Telangana
9,Hyundai Verna,Hyundai,1.6 CRDI SX + AT ,2018,Automatic,"33,367",1st,Diesel,"10,69,899","23,799/month",Zero downpayment,Hyderabad,Telangana
10,Hyundai VENUE,Hyundai,1.5 SX CRDI MT ,2020,Manual,"40,139",1st,Diesel,"10,42,799","23,196/month",Zero downpayment,Hyderabad,Telangana
11,Maruti Ciaz,Maruti,LPHA 1.5 AT VTVT SHVS ,2020,,"35,019",1st,Petrol,"10,83,299","24,097/month",Zero downpayment,Hyderabad,Telangana
12,Maruti Swift,Maruti,VDI ,2011,Manual,"1,11,043",1st,Diesel,"3,46,399","7,705/month",Zero downpayment,Hyderabad,Telangana
13,Mahindra XUV500,Mahindra,W11 ,2021,Automatic,"14,755",1st,Diesel,"23,00,999","51,184/month",Zero downpayment,Hyderabad,Telangana
14,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,"49,094",1st,Petrol,"6,47,799","14,410/month",Zero downpayment,Hyderabad,Telangana
15,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT ,2020,Automatic,"5,634",1st,Petrol,"12,60,699","28,044/month",Zero downpayment,Hyderabad,Telangana
16,Renault Kwid,Renault,CLIMBER 1.0 AT ,2017,Automatic,"36,933",2nd,Petrol,"4,11,199","9,147/month",Zero downpayment,Hyderabad,Telangana
17,Maruti Alto K10,Maruti,LXI ,2011,Manual,"86,129",2nd,Petrol,"2,11,099","4,696/month",Zero downpayment,Hyderabad,Telangana
18,Maruti Vitara Brezza,Maruti,VDI ,2019,Manual,"51,619",1st,Diesel,"8,11,499","18,051/month",Zero downpayment,Hyderabad,Telangana
19,Maruti Vitara Brezza,Maruti,ZDI ,2018,Manual,"47,763",1st,Diesel,"8,60,499","19,141/month",Zero downpayment,Hyderabad,Telangana
20,Maruti Wagon R 1.0,Maruti,VXI ,2012,Manual,"78,088",1st,Petrol,"3,67,299","8,170/month",Zero downpayment,Hyderabad,Telangana
21,Maruti Wagon R 1.0,Maruti,VXI ,2012,Manual,"73,245",1st,Petrol,"3,57,299","7,948/month",Zero downpayment,Hyderabad,Telangana
22,Maruti Vitara Brezza,Maruti,VDI AMT ,2018,Automatic,"81,477",2nd,Diesel,"8,00,499","17,807/month",Zero downpayment,Hyderabad,Telangana
23,Hyundai Grand i10,Hyundai,SPORTZ (O) 1.2 AT VTVT ,2018,Automatic,"41,620",1st,Petrol,"6,57,799","14,632/month",Zero downpayment,Hyderabad,Telangana
24,Maruti Wagon R 1.0,Maruti,VXI ,2012,Manual,"86,777",2nd,Petrol,"3,52,799","7,848/month",Zero downpayment,Hyderabad,Telangana
25,Maruti Alto,Maruti,VXI ,2019,Manual,"41,432",1st,Petrol,"4,07,099","9,056/month",Zero downpayment,Hyderabad,Telangana
26,Maruti Alto 800,Maruti,LXI ,2017,Manual,"61,247",1st,Petrol,"2,86,399","6,371/month",Zero downpayment,Hyderabad,Telangana
27,Maruti Wagon R 1.0,Maruti,VXI ,2016,Manual,"55,405",1st,Petrol,"4,19,999","9,343/month",Zero downpayment,Hyderabad,Telangana
28,Maruti Wagon R 1.0,Maruti,VXI ,2016,Manual,"39,789",1st,Petrol,"3,98,099","8,855/month",Zero downpayment,Hyderabad,Telangana
29,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,"52,689",1st,Petrol,"4,01,199","8,924/month",Zero downpayment,Hyderabad,Telangana
30,Honda Brio,Honda,1.2 S MT I VTEC ,2015,Manual,"68,623",1st,Petrol,"4,02,699","8,958/month",Zero downpayment,Hyderabad,Telangana
31,Maruti Wagon R 1.0,Maruti,VXI AMT ,2016,Automatic,"46,870",1st,Petrol,"4,30,999","9,587/month",Zero downpayment,Hyderabad,Telangana
32,Maruti Eeco,Maruti,7 STR ,2018,Manual,"40,023",2nd,Petrol,"4,01,399","8,929/month",Zero downpayment,Hyderabad,Telangana
33,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,"55,530",2nd,Petrol,"4,10,399","9,129/month",Zero downpayment,Hyderabad,Telangana
34,Maruti Wagon R 1.0,Maruti,VXI ,2013,Manual,"58,771",1st,Petrol,"3,63,299","8,081/month",Zero downpayment,Hyderabad,Telangana
35,Maruti Alto K10,Maruti,VXI ,2018,Manual,"41,877",2nd,Petrol,"3,83,899","8,540/month",Zero downpayment,Hyderabad,Telangana
36,Honda Brio,Honda,1.2 VX AT I VTEC ,2013,Automatic,"27,101",2nd,Petrol,"4,43,099","9,856/month",Zero downpayment,Hyderabad,Telangana
37,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"21,336",1st,Petrol,"4,32,199","9,614/month",Zero downpayment,Hyderabad,Telangana
38,Maruti Swift,Maruti,VXI ,2012,Manual,"64,298",2nd,Petrol,"4,27,299","9,505/month",Zero downpayment,Hyderabad,Telangana
39,Hyundai Elite i20,Hyundai,SPORTZ 1.4 ,2016,Manual,"51,885",1st,Diesel,"6,87,499","15,293/month",Zero downpayment,Hyderabad,Telangana
40,Maruti Swift,Maruti,VXI OPT ,2017,Manual,"1,04,760",1st,Petrol,"5,73,899","12,766/month",Zero downpayment,Hyderabad,Telangana
41,Hyundai GRAND I10 NIOS,Hyundai,1.2 Kappa Sports MT ,2020,Manual,"11,535",1st,Petrol,"6,88,999","15,326/month",Zero downpayment,Hyderabad,Telangana
42,Hyundai Elite i20,Hyundai,1.2 MAGNA PLUS VTVT ,2019,Manual,"34,387",1st,Petrol,"6,78,999","15,104/month",Zero downpayment,Hyderabad,Telangana
43,Renault Kwid,Renault,1.0 RXT Opt AT ,2018,Automatic,"45,396",1st,Petrol,"4,31,099","9,590/month",Zero downpayment,Hyderabad,Telangana
44,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,"92,708",1st,Petrol,"3,61,699","8,046/month",Zero downpayment,Hyderabad,Telangana
45,Hyundai Grand i10,Hyundai,STA 1.1 (O) CRDI ,2014,Manual,"1,06,258",1st,Diesel,"4,66,599","10,379/month",Zero downpayment,Hyderabad,Telangana
46,Volkswagen Ameo,Volkswagen,HIGHLINE 1.2 ,2016,Manual,"43,325",2nd,Petrol,"4,97,499","11,067/month",Zero downpayment,Hyderabad,Telangana
47,Toyota Fortuner,Toyota,3.0 MT 4X4 ,2009,Manual,"2,16,114",2nd,Diesel,"8,71,699","19,390/month",Zero downpayment,Hyderabad,Telangana
48,Maruti Swift Dzire,Maruti,VDI BS IV ,2015,Manual,"97,519",1st,Diesel,"5,38,799","11,985/month",Zero downpayment,Hyderabad,Telangana
49,Datsun Redi Go,Datsun,S ,2017,Manual,"29,131",1st,Petrol,"3,12,399","6,949/month",Zero downpayment,Hyderabad,Telangana
50,Hyundai Creta,Hyundai,1.6 CRDI SX PLUS AUTO ,2016,Automatic,"1,09,897",1st,Diesel,"9,62,699","21,415/month",Zero downpayment,Hyderabad,Telangana
51,Hyundai Creta,Hyundai,1.6 SX PLUS PETROL ,2017,Manual,"51,628",1st,Petrol,"9,91,499","22,055/month",Zero downpayment,Hyderabad,Telangana
52,Hyundai Creta,Hyundai,1.6 SX CRDI ,2016,Manual,"44,124",1st,Diesel,"11,63,699","25,886/month",Zero downpayment,Hyderabad,Telangana
53,Hyundai Elite i20,Hyundai,SPORTZ (O) 1.4 ,2015,Manual,"1,83,608",1st,Diesel,"5,82,099","12,948/month",Zero downpayment,Hyderabad,Telangana
54,Honda WR-V,Honda,1.5 i-DTEC VX MT ,2018,Manual,"83,311",1st,Diesel,"8,16,899","18,171/month",Zero downpayment,Hyderabad,Telangana
55,Volkswagen Vento,Volkswagen,HIGHLINE PLUS TDI MT ,2017,Manual,"38,004",1st,Diesel,"8,43,899","18,772/month",Zero downpayment,Hyderabad,Telangana
56,Mercedes Benz C Class,Mercedes,C 220 CDI AVANTGARDE ,2013,Automatic,"88,866",1st,Diesel,"14,41,599","32,068/month",Zero downpayment,Hyderabad,Telangana
57,Maruti New  Wagon-R,Maruti,VXI 1.2L ,2019,Manual,"48,692",2nd,Petrol,"5,42,399","12,065/month",Zero downpayment,Hyderabad,Telangana
58,Honda City,Honda,VX MT PETROL ,2018,Manual,"47,032",1st,Petrol,"10,46,099","23,270/month",Zero downpayment,Hyderabad,Telangana
59,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2016,Manual,"69,096",2nd,Petrol,"5,89,699","13,118/month",Zero downpayment,Hyderabad,Telangana
60,Hyundai Elite i20,Hyundai,STA 1.4 CRDI ,2016,Manual,"1,18,824",1st,Diesel,"6,58,699","14,652/month",Zero downpayment,Hyderabad,Telangana
61,Maruti IGNIS,Maruti,LPHA 1.2 K12 DUAL TONE ,2017,Manual,"79,312",1st,Petrol,"5,65,499","12,579/month",Zero downpayment,Hyderabad,Telangana
62,Maruti Celerio,Maruti,VXI AMT ,2015,Automatic,"70,894",1st,Petrol,"4,00,799","8,916/month",Zero downpayment,Hyderabad,Telangana
63,Hyundai Eon,Hyundai,GNA PLUS ,2015,Manual,"68,345",2nd,Petrol,"3,14,399","6,994/month",Zero downpayment,Hyderabad,Telangana
64,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2017,Manual,"56,571",1st,Petrol,"7,12,199","15,842/month",Zero downpayment,Hyderabad,Telangana
65,Maruti Swift,Maruti,VDI OPT ,2017,Manual,"68,276",1st,Diesel,"6,17,499","13,736/month",Zero downpayment,Hyderabad,Telangana
66,Hyundai Creta,Hyundai,1.6 SX (O) VTVT ,2018,Manual,"67,406",1st,Petrol,"12,06,099","26,829/month",Zero downpayment,Hyderabad,Telangana
67,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2017,Manual,"52,645",2nd,Petrol,"6,59,299","14,666/month",Zero downpayment,Hyderabad,Telangana
68,Hyundai Verna,Hyundai,1.6 CRDI SX + AT ,2018,Automatic,"83,119",1st,Diesel,"10,20,399","22,698/month",Zero downpayment,Hyderabad,Telangana
69,Maruti Swift Dzire,Maruti,VXI 1.2 BS IV ,2015,Manual,"61,290",2nd,Petrol,"5,26,299","11,707/month",Zero downpayment,Hyderabad,Telangana
70,Renault Kwid,Renault,CLIMBER 1.0 AT ,2017,Automatic,"11,036",1st,Petrol,"4,60,499","10,244/month",Zero downpayment,Hyderabad,Telangana
71,Hyundai Eon,Hyundai,GNA PLUS ,2015,Manual,"38,789",1st,Petrol,"3,24,199","7,212/month",Zero downpayment,Hyderabad,Telangana
72,Honda Jazz,Honda,1.2 ZX MT ,2021,Manual,"8,459",1st,Petrol,"9,76,699","21,726/month",Zero downpayment,Hyderabad,Telangana
73,Maruti Swift,Maruti,VXI ,2014,Manual,"49,168",1st,Petrol,"4,81,499","10,711/month",Zero downpayment,Hyderabad,Telangana
74,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2020,Manual,"24,307",1st,Petrol,"7,22,599","16,074/month",Zero downpayment,Hyderabad,Telangana
75,Maruti Baleno,Maruti,LPHA 1.2 K12 AMT ,2018,Automatic,"60,393",2nd,Petrol,"7,45,099","16,574/month",Zero downpayment,Hyderabad,Telangana
76,Maruti Swift,Maruti,VXI ,2014,Manual,"30,466",1st,Petrol,"4,64,199","10,326/month",Zero downpayment,Hyderabad,Telangana
77,Maruti Alto 800,Maruti,LXI ,2013,Manual,"60,810",2nd,Petrol,"2,63,899","5,870/month",Zero downpayment,Hyderabad,Telangana
78,Hyundai Santro Xing,Hyundai,GLS ,2013,Manual,"69,600",1st,Petrol,"2,92,599","6,509/month",Zero downpayment,Hyderabad,Telangana
79,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2018,Manual,"58,996",1st,Petrol,"5,30,299","11,796/month",Zero downpayment,Hyderabad,Telangana
80,Maruti Wagon R 1.0,Maruti,VXI AMT ,2018,Automatic,"87,693",1st,Petrol,"4,94,199","10,993/month",Zero downpayment,Hyderabad,Telangana
81,Hyundai Grand i10,Hyundai,STA 1.2 KAPPA VTVT ,2016,Manual,"27,665",1st,Petrol,"5,32,899","11,854/month",Zero downpayment,Hyderabad,Telangana
82,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2016,Manual,"68,792",2nd,Petrol,"4,79,199","10,660/month",Zero downpayment,Hyderabad,Telangana
83,Hyundai i10,Hyundai,SPORTZ 1.2 KAPPA2 ,2010,Manual,"1,01,361",1st,Petrol,"2,82,199","6,277/month",Zero downpayment,Hyderabad,Telangana
84,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2017,Manual,"19,376",2nd,Petrol,"5,18,199","11,527/month",Zero downpayment,Hyderabad,Telangana
85,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,"77,315",1st,Petrol,"3,85,799","8,582/month",Zero downpayment,Hyderabad,Telangana
86,Maruti Wagon R 1.0,Maruti,VXI AMT ,2016,Automatic,"67,469",1st,Petrol,"4,27,299","9,505/month",Zero downpayment,Hyderabad,Telangana
87,Maruti Alto K10,Maruti,VXI ,2012,Manual,"55,395",1st,Petrol,"2,66,199","5,921/month",Zero downpayment,Hyderabad,Telangana
88,Maruti Alto K10,Maruti,VXI ,2019,Manual,"18,838",1st,Petrol,"4,11,399","9,151/month",Zero downpayment,Hyderabad,Telangana
89,Maruti Alto K10,Maruti,VXI ,2017,Manual,"23,366",1st,Petrol,"3,82,299","8,504/month",Zero downpayment,Hyderabad,Telangana
90,Maruti Alto K10,Maruti,VXI ,2019,Manual,"5,270",1st,Petrol,"4,41,499","9,821/month",Zero downpayment,Hyderabad,Telangana
91,Renault Captur,Renault,PLATINE DUAL TONE ,2017,Manual,"26,909",1st,Diesel,"8,21,799","18,280/month",Zero downpayment,Hyderabad,Telangana
92,Maruti New  Wagon-R,Maruti,1.0 VXI (O) ,2019,Manual,"19,377",1st,Petrol,"5,36,999","11,945/month",Zero downpayment,Hyderabad,Telangana
93,Hyundai Creta,Hyundai,1.6 SX PLUS AUTO PETROL ,2017,Automatic,"44,234",2nd,Petrol,"10,69,099","23,782/month",Zero downpayment,Hyderabad,Telangana
94,Tata Tiago,Tata,XZA 1.2 REVOTRON ,2018,Automatic,"35,836",2nd,Petrol,"5,51,999","12,279/month",Zero downpayment,Hyderabad,Telangana
95,Toyota Fortuner,Toyota,3.0 AT 4X2 ,2012,Automatic,"1,58,977",2nd,Diesel,"14,87,099","33,080/month",Zero downpayment,Hyderabad,Telangana
96,Tata Safari Storme,Tata,2.2 VX 4X2 ,2017,Manual,"44,522",1st,Diesel,"9,45,199","21,025/month",Zero downpayment,Hyderabad,Telangana
97,Honda Amaze,Honda,1.2 SMT I VTEC ,2019,Manual,"42,915",1st,Petrol,"6,51,599","14,494/month",Zero downpayment,Hyderabad,Telangana
98,Ford New Figo,Ford,1.5 TITANIUM AT PETROL ,2016,Automatic,"21,202",2nd,Petrol,"5,80,699","12,917/month",Zero downpayment,Hyderabad,Telangana
99,Maruti Ciaz,Maruti,ZXI ,2014,Manual,"1,20,506",1st,Petrol,"5,83,899","12,989/month",Zero downpayment,Hyderabad,Telangana
100,Honda City,Honda,V MT DIESEL ,2015,Manual,"80,573",1st,Diesel,"6,15,199","13,685/month",Zero downpayment,Hyderabad,Telangana
101,Toyota Innova Crysta,Toyota,2.8 ZX AT 7 STR ,2017,Automatic,"72,222",2nd,Diesel,"19,26,499","42,854/month",Zero downpayment,Hyderabad,Telangana
102,Honda WR-V,Honda,1.2 i-VTEC VX MT ,2018,Manual,"13,989",1st,Petrol,"8,32,499","18,518/month",Zero downpayment,Hyderabad,Telangana
103,Honda City,Honda,VX MT PETROL ,2017,Manual,"34,013",1st,Petrol,"9,33,399","20,763/month",Zero downpayment,Hyderabad,Telangana
104,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2016,Manual,"36,772",1st,Petrol,"6,54,199","14,552/month",Zero downpayment,Hyderabad,Telangana
105,Maruti XL6,Maruti,LPHA SHVS  MT ,2019,Manual,"23,652",1st,Petrol,"9,83,099","21,868/month",Zero downpayment,Hyderabad,Telangana
106,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2018,Manual,"67,591",1st,Petrol,"5,94,499","13,224/month",Zero downpayment,Hyderabad,Telangana
107,Maruti Ciaz,Maruti,DELTA 1.5 SHVS VVT MT ,2020,Manual,"8,747",1st,Petrol,"9,39,199","20,892/month",Zero downpayment,Hyderabad,Telangana
108,Honda City,Honda,VX MT PETROL ,2018,Manual,"48,992",1st,Petrol,"9,96,799","22,173/month",Zero downpayment,Hyderabad,Telangana
109,Hyundai NEW I20,Hyundai,STA (O) 1.5 CRDI MT ,2021,,"15,187",1st,Diesel,"11,49,199","25,563/month",Zero downpayment,Hyderabad,Telangana
110,Hyundai Elite i20,Hyundai,STA 1.2 AT ,2018,Automatic,"14,978",1st,Petrol,"7,74,199","17,222/month",Zero downpayment,Hyderabad,Telangana
111,Hyundai i20 Active,Hyundai,1.2 S ,2017,Manual,"1,09,519",1st,Petrol,"6,33,799","14,099/month",Zero downpayment,Hyderabad,Telangana
112,Maruti Swift Dzire,Maruti,VDI BS IV ,2012,Manual,"1,29,986",2nd,Diesel,"4,60,599","10,246/month",Zero downpayment,Hyderabad,Telangana
113,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2018,Manual,"16,676",1st,Petrol,"7,30,099","16,241/month",Zero downpayment,Hyderabad,Telangana
114,Renault Kwid,Renault,CLIMBER 1.0 AT ,2017,,"34,457",1st,Petrol,"4,21,899","9,385/month",Zero downpayment,Hyderabad,Telangana
115,Maruti Swift,Maruti,VXI ,2014,Manual,"1,02,252",1st,Petrol,"4,39,999","9,788/month",Zero downpayment,Hyderabad,Telangana
116,Hyundai Santro Xing,Hyundai,GLS ,2010,Manual,"74,312",1st,Petrol,"2,36,899","5,270/month",Zero downpayment,Hyderabad,Telangana
117,Renault Kwid,Renault,RXT 1.0 EASY-R  AT ,2018,Automatic,"32,161",1st,Petrol,"4,36,299","9,705/month",Zero downpayment,Hyderabad,Telangana
118,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE ,2019,Manual,"40,117",1st,Diesel,"10,14,999","22,578/month",Zero downpayment,Hyderabad,Telangana
119,Honda Brio,Honda,1.2 E MT I VTEC ,2016,Manual,"74,437",1st,Petrol,"3,86,799","8,604/month",Zero downpayment,Hyderabad,Telangana
120,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2018,Manual,"38,735",2nd,Petrol,"7,48,299","16,645/month",Zero downpayment,Hyderabad,Telangana
121,Maruti Celerio,Maruti,ZXI OPT AMT ,2017,Automatic,"50,940",1st,Petrol,"5,01,299","11,151/month",Zero downpayment,Hyderabad,Telangana
122,Maruti Wagon R 1.0,Maruti,VXI ,2016,Manual,"78,656",1st,Petrol,"4,10,099","9,122/month",Zero downpayment,Hyderabad,Telangana
123,Maruti Alto,Maruti,LXI ,2019,Manual,"17,804",1st,Petrol,"3,56,299","7,926/month",Zero downpayment,Hyderabad,Telangana
124,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT ,2016,Manual,"11,293",2nd,Petrol,"5,39,799","12,008/month",Zero downpayment,Hyderabad,Telangana
125,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,"41,503",1st,Petrol,"4,07,899","9,073/month",Zero downpayment,Hyderabad,Telangana
126,Maruti Alto 800,Maruti,VXI (O) ,2018,Manual,"62,766",1st,Petrol,"3,32,499","7,396/month",Zero downpayment,Hyderabad,Telangana
127,Maruti Alto K10,Maruti,VXI ,2017,Manual,"68,809",2nd,Petrol,"3,53,799","7,870/month",Zero downpayment,Hyderabad,Telangana
128,Maruti Alto K10,Maruti,VXI ,2017,Manual,"78,193",1st,Petrol,"3,85,999","8,586/month",Zero downpayment,Hyderabad,Telangana
129,Maruti Eeco,Maruti,7 STR ,2019,Manual,"16,480",1st,Petrol,"4,20,699","9,358/month",Zero downpayment,Hyderabad,Telangana
130,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"18,789",1st,Petrol,"4,77,199","10,615/month",Zero downpayment,Hyderabad,Telangana
131,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2019,Manual,"9,338",2nd,Petrol,"4,63,499","10,310/month",Zero downpayment,Hyderabad,Telangana
132,Hyundai i10,Hyundai,ERA 1.1 IRDE ,2012,Manual,"45,064",3rd,Petrol,"3,34,099","7,432/month",Zero downpayment,Hyderabad,Telangana
133,Maruti Alto K10,Maruti,VXI (O) AMT ,2019,Automatic,"30,016",1st,Petrol,"4,48,599","9,979/month",Zero downpayment,Hyderabad,Telangana
134,Maruti Baleno,Maruti,ZETA 1.2 K12 AMT ,2017,Automatic,"45,211",1st,Petrol,"6,63,599","14,761/month",Zero downpayment,Hyderabad,Telangana
135,MG HECTOR,MG,SHARP DCT PETROL ,2019,,"40,741",1st,Petrol,"16,59,699","36,919/month",Zero downpayment,Hyderabad,Telangana
136,Maruti Swift Dzire,Maruti,VDI BS IV ,2012,Manual,"1,21,755",1st,Diesel,"4,60,599","10,246/month",Zero downpayment,Hyderabad,Telangana
137,Maruti Alto,Maruti,LXI ,2020,Manual,"24,682",1st,Petrol,"99,099",878/month,Zero downpayment,Ahmedabad,Gujarat
138,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2016,Manual,"30,525",1st,Petrol,"79,199",660/month,Zero downpayment,Ahmedabad,Gujarat
139,Hyundai Elite i20,Hyundai,STA 1.2 ,2014,Manual,"50,257",1st,Petrol,"78,599",871/month,Zero downpayment,Ahmedabad,Gujarat
140,Hyundai Grand i10,Hyundai,GNA 1.2 KAPPA VTVT ,2018,Manual,"14,586",1st,Petrol,"88,799",873/month,Zero downpayment,Ahmedabad,Gujarat
141,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2017,Manual,"33,310",1st,Petrol,"84,099",544/month,Zero downpayment,Ahmedabad,Gujarat
142,Datsun Redi Go,Datsun,1.0 T(O) ,2018,Manual,"19,423",2nd,Petrol,"65,099",897/month,Zero downpayment,Ahmedabad,Gujarat
143,Maruti Eeco,Maruti,5 STR WITH AC PLUSHTR ,2017,Manual,"14,970",1st,Petrol,"36,799",716/month,Zero downpayment,Ahmedabad,Gujarat
144,Maruti Dzire,Maruti,VDI ,2017,Manual,"64,299",1st,Diesel,"75,699",806/month,Zero downpayment,Ahmedabad,Gujarat
145,Hyundai VENUE,Hyundai,S MT 1.2 KAPPA ,2021,Manual,"5,656",1st,Petrol,"21,199",267/month,Zero downpayment,Ahmedabad,Gujarat
146,Hyundai Elite i20,Hyundai,SPORTZ 1.4 ,2016,Manual,"74,251",2nd,Diesel,"36,299",930/month,Zero downpayment,Ahmedabad,Gujarat
147,Tata Harrier,Tata,XZ 2.0L Kryotec ,2019,Manual,"34,644",1st,Diesel,",49,099",234/month,Zero downpayment,Ahmedabad,Gujarat
148,Maruti Baleno,Maruti,DELTA DDIS 190 ,2017,Manual,"83,204",1st,Diesel,"32,299",841/month,Zero downpayment,Ahmedabad,Gujarat
149,Maruti Dzire,Maruti,VDI ,2017,Manual,"50,279",1st,Diesel,"28,099",972/month,Zero downpayment,Ahmedabad,Gujarat
150,Maruti S Cross,Maruti,ZETA 1.3 ,2016,Manual,"82,056",2nd,Diesel,"95,399",244/month,Zero downpayment,Ahmedabad,Gujarat
151,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2015,Manual,"76,209",1st,Petrol,"42,699",072/month,Zero downpayment,Ahmedabad,Gujarat
152,Hyundai Elite i20,Hyundai,STA 1.2 DUAL TONE ,2017,Manual,"28,959",2nd,Petrol,"53,099",528/month,Zero downpayment,Ahmedabad,Gujarat
153,Hyundai Creta,Hyundai,1.6 EX CRDI ,2020,Manual,"26,284",1st,Diesel,",30,499",372/month,Zero downpayment,Ahmedabad,Gujarat
154,Audi A3,Audi,35TDI PREMIUM ,2018,Automatic,"39,254",2nd,Diesel,",68,199",781/month,Zero downpayment,Ahmedabad,Gujarat
155,Maruti Dzire,Maruti,ZDI Plus ,2017,Manual,"41,159",1st,Diesel,"04,499",671/month,Zero downpayment,Ahmedabad,Gujarat
156,Hyundai Creta,Hyundai,SX MT ,2021,Manual,"3,203",1st,Diesel,",95,599",167/month,Zero downpayment,Ahmedabad,Gujarat
157,Jeep Compass,Jeep,2.0 LIMITED 4*2 ,2017,Manual,"1,48,933",1st,Diesel,",95,499",369/month,Zero downpayment,Ahmedabad,Gujarat
158,Hyundai Verna,Hyundai,1.6 SX VTVT ,2019,Manual,"33,957",2nd,Petrol,"15,699",369/month,Zero downpayment,Ahmedabad,Gujarat
159,Maruti Vitara Brezza,Maruti,VDI ,2016,Manual,"1,08,852",1st,Diesel,"14,199",663/month,Zero downpayment,Ahmedabad,Gujarat
160,Maruti Ciaz,Maruti,LPHA 1.4 VVT AMT ,2018,Automatic,"13,881",1st,Petrol,"89,899",795/month,Zero downpayment,Ahmedabad,Gujarat
161,Hyundai Verna,Hyundai,1.6 SX (O) CRDI MT ,2017,Manual,"26,831",2nd,Diesel,"35,399",807/month,Zero downpayment,Ahmedabad,Gujarat
162,Hyundai Elite i20,Hyundai,STA 1.2 (O) ,2017,Manual,"45,441",1st,Petrol,"81,699",164/month,Zero downpayment,Ahmedabad,Gujarat
163,Jeep Compass,Jeep,2.0 LIMITED ,2018,Manual,"73,980",1st,Diesel,",23,499",441/month,Zero downpayment,Ahmedabad,Gujarat
164,Jeep Compass,Jeep,2.0 LIMITED ,2018,Manual,"36,813",1st,Diesel,",63,999",341/month,Zero downpayment,Ahmedabad,Gujarat
165,KIA SELTOS,KIA,HTK 1.5 PETROL ,2019,Manual,"19,485",1st,Petrol,",07,499",636/month,Zero downpayment,Ahmedabad,Gujarat
166,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2016,Manual,"56,311",1st,Petrol,"88,499",091/month,Zero downpayment,Ahmedabad,Gujarat
167,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE ,2016,Manual,"1,49,993",1st,Diesel,"36,599",385/month,Zero downpayment,Ahmedabad,Gujarat
168,Maruti Vitara Brezza,Maruti,ZDI PLUS DUAL TONE ,2016,Manual,"49,358",1st,Diesel,"38,199",421/month,Zero downpayment,Ahmedabad,Gujarat
169,Maruti S Cross,Maruti,ZETA 1.3 ,2017,Manual,"83,904",1st,Diesel,"68,199",864/month,Zero downpayment,Ahmedabad,Gujarat
