,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment,city,state
3457,MG HECTOR,MG,SHARP DCT PETROL ,2019,Automatic,"28,225",1st,Petrol,"16,76,399","37,291/month",Zero downpayment,Mumbai,Maharashtra
3458,Maruti Wagon R 1.0,Maruti,VXI ,2014,Manual,"98,080",1st,Petrol,"3,34,799","7,447/month",Zero downpayment,Mumbai,Maharashtra
3459,Maruti Swift Dzire,Maruti,VDI BS IV ,2013,Manual,"74,296",1st,Diesel,"4,95,999","11,033/month",Zero downpayment,Mumbai,Maharashtra
3460,Maruti Ciaz,Maruti,ZETA 1.5 SHVS VVT MT ,2019,Manual,"9,995",1st,Petrol,"9,43,599","20,990/month",Zero downpayment,Mumbai,Maharashtra
3461,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2017,Manual,"9,256",1st,Petrol,"6,21,399","13,823/month",Zero downpayment,Mumbai,Maharashtra
3462,Maruti Ertiga,Maruti,VDI SHVS ,2018,Manual,"65,977",1st,Diesel,"9,20,499","20,476/month",Zero downpayment,Mumbai,Maharashtra
3463,Hyundai Elite i20,Hyundai,1.2 SPORTS PLUS VTVT ,2019,Manual,"7,605",1st,Petrol,"7,40,899","16,481/month",Zero downpayment,Mumbai,Maharashtra
3464,Maruti Vitara Brezza,Maruti,VDI OPT ,2018,Manual,"64,199",1st,Diesel,"7,28,099","16,196/month",Zero downpayment,Mumbai,Maharashtra
3465,Hyundai Elite i20,Hyundai,1.2 SPORTS PLUS VTVT ,2019,Manual,"1,898",1st,Petrol,"7,19,999","16,016/month",Zero downpayment,Mumbai,Maharashtra
3466,Maruti Swift,Maruti,VXI ,2017,Manual,"46,111",1st,Petrol,"5,31,099","11,814/month",Zero downpayment,Mumbai,Maharashtra
3467,Hyundai Elite i20,Hyundai,1.2  ASTA (O) CVT ,2019,Automatic,"25,163",1st,Petrol,"8,94,099","19,889/month",Zero downpayment,Mumbai,Maharashtra
