,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
497,Honda Brio,Honda,1.2 S MT I VTEC ,2012,Manual,"71,648",2nd,Petrol,"2,93,699","6,533/month",Zero downpayment
498,Honda Jazz,Honda,1.2 VX AT ,2019,Automatic,"5,713",1st,Petrol,"8,57,399","19,072/month",Zero downpayment
499,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2016,Manual,"15,650",1st,Petrol,"4,80,699","10,693/month",Zero downpayment
500,Tata NEXON,Tata,XZ+ 1.5 ,2018,Manual,"19,568",1st,Diesel,"8,79,599","19,566/month",Zero downpayment
501,Renault Kwid,Renault,RXT 1.0 EASY-R  AT ,2016,Automatic,"27,061",1st,Petrol,"3,54,699","7,890/month",Zero downpayment
502,Tata Hexa,Tata,Varicor 320 XE ,2018,Manual,"35,845",1st,Diesel,"9,85,699","21,926/month",Zero downpayment
503,Tata Hexa,Tata,Varicor 400 XTA ,2018,Automatic,"86,005",1st,Diesel,"12,10,699","26,931/month",Zero downpayment
504,Maruti Vitara Brezza,Maruti,ZDI ,2017,Manual,"77,989",1st,Diesel,"7,97,299","17,735/month",Zero downpayment
505,Hyundai i20,Hyundai,SPORTZ 1.2 O ,2011,Manual,"94,230",2nd,Petrol,"3,15,499","7,018/month",Zero downpayment
506,Hyundai Creta,Hyundai,1.6 CRDI SX PLUS AUTO ,2017,Automatic,"52,753",1st,Diesel,"11,65,399","25,924/month",Zero downpayment
507,Mercedes Benz CLA Class,Mercedes,CLA 200 CDI SPORT ,2015,Automatic,"19,424",1st,Diesel,"20,51,099","45,626/month",Zero downpayment
508,Maruti IGNIS,Maruti,ZETA 1.2 K12 AMT ,2017,Automatic,"16,256",1st,Petrol,"5,53,099","12,303/month",Zero downpayment
509,Maruti Dzire,Maruti,VDI AMT ,2017,Automatic,"66,990",1st,Diesel,"6,90,699","15,364/month",Zero downpayment
510,Maruti IGNIS,Maruti,DELTA 1.2 K12 ,2017,Manual,"40,132",1st,Petrol,"4,63,099","10,301/month",Zero downpayment
511,Hyundai VENUE,Hyundai,1.4 CRDI S MT ,2019,Manual,"11,482",1st,Diesel,"9,21,399","20,496/month",Zero downpayment
512,Mahindra TUV300,Mahindra,T 10 MT Dual Tone ,2018,Manual,"29,735",2nd,Diesel,"8,21,099","18,265/month",Zero downpayment
513,Jeep Compass,Jeep,LIMITED O 1.4 AT ,2018,Automatic,"25,460",2nd,Petrol,"15,18,299","33,774/month",Zero downpayment
514,Honda Amaze,Honda,1.2 V CVT I VTEC ,2019,Automatic,"15,798",1st,Petrol,"7,95,399","17,693/month",Zero downpayment
515,Maruti Alto,Maruti,LXI CNG ,2019,Manual,"23,586",1st,Petrol,"4,42,999","9,854/month",Zero downpayment
