,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
433,Mahindra XUV500,Mahindra,W8 FWD ,2014,Manual,"1,20,399",2nd,Diesel,"43,799",",545/month",Zero downpayment
434,Ford Ecosport,Ford,1.5 TITANIUM TI VCT AT ,2017,Automatic,"43,669",1st,Petrol,"72,799",",190/month",Zero downpayment
435,Hyundai Verna,Hyundai,1.6 SX VTVT ,2017,Manual,"27,357",2nd,Petrol,"83,999",",215/month",Zero downpayment
436,Maruti Wagon R Stingray,Maruti,LXI ,2013,Manual,"22,357",2nd,Petrol,"16,099",031/month,Zero downpayment
437,Hyundai Verna,Hyundai,1.6 SX VTVT AT (O) ,2018,Automatic,"12,584",1st,Petrol,",62,899",",868/month",Zero downpayment
438,KIA SELTOS,KIA,HTX 1.5 DIESEL ,2020,Manual,"3,298",1st,Diesel,",45,399",",152/month",Zero downpayment
439,Maruti IGNIS,Maruti,DELTA 1.2 K12 ,2018,Manual,"12,811",2nd,Petrol,"71,499",",488/month",Zero downpayment
440,Maruti Celerio,Maruti,VXI AMT ,2015,Automatic,"14,997",1st,Petrol,"20,599",356/month,Zero downpayment
441,Honda City,Honda,VX CVT PETROL ,2014,Automatic,"43,697",1st,Petrol,"40,799",",254/month",Zero downpayment
442,Honda City,Honda,SV CVT PETROL ,2014,Automatic,"76,386",1st,Petrol,"27,099",",949/month",Zero downpayment
443,Renault Duster,Renault,RXZ AMT 110 PS ,2018,Automatic,"36,340",1st,Diesel,"19,699",",458/month",Zero downpayment
444,Hyundai Elite i20,Hyundai,1.2 SPORTS PLUS VTVT ,2019,Manual,"10,129",1st,Petrol,"40,899",",481/month",Zero downpayment
445,Hyundai Creta,Hyundai,1.6 CRDI SX PLUS AUTO ,2017,Automatic,"76,915",1st,Diesel,",09,899",",914/month",Zero downpayment
446,Nissan Micra,Nissan,XL CVT (PETROL) ,2018,Automatic,"21,213",1st,Petrol,"19,099",",772/month",Zero downpayment
447,Nissan Micra,Nissan,XL CVT (PETROL) ,2018,Automatic,"14,360",1st,Petrol,"28,499",",981/month",Zero downpayment
448,Honda City,Honda,V MT PETROL ,2015,Manual,"1,50,323",1st,Petrol,"54,799",",341/month",Zero downpayment
449,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2017,Manual,"53,917",1st,Petrol,"58,599",",426/month",Zero downpayment
450,Honda City,Honda,VX MT PETROL ,2015,Manual,"64,549",2nd,Petrol,"15,499",",691/month",Zero downpayment
451,Skoda Rapid,Skoda,MBITION 1.6 MPI MT PLUS ,2016,Manual,"82,342",2nd,Petrol,"81,399",",933/month",Zero downpayment
452,Maruti Swift,Maruti,LXI ,2018,Manual,"23,414",2nd,Petrol,"16,299",",485/month",Zero downpayment
453,Hyundai Verna,Hyundai,1.6 SX VTVT AT (O) ,2018,Automatic,"36,965",1st,Petrol,",71,199",",053/month",Zero downpayment
454,Tata NEXON,Tata,XMA 1.5 ,2019,Manual,"50,154",1st,Diesel,"59,099",",335/month",Zero downpayment
455,Maruti IGNIS,Maruti,DELTA 1.2 K12 ,2018,Manual,"8,543",2nd,Petrol,"43,199",",083/month",Zero downpayment
456,MG HECTOR,MG,SHARP DCT PETROL ,2019,Automatic,"13,636",2nd,Petrol,",52,199",",752/month",Zero downpayment
457,MG HECTOR,MG,SHARP DCT PETROL ,2019,Automatic,"6,399",1st,Petrol,",35,999",",841/month",Zero downpayment
458,Mahindra XUV500,Mahindra,W10 FWD ,2017,Manual,"56,035",1st,Diesel,",70,999",",273/month",Zero downpayment
459,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2017,Manual,"56,956",1st,Petrol,"10,499",",580/month",Zero downpayment
460,Hyundai Elite i20,Hyundai,STA 1.2 AT ,2018,Automatic,"11,839",1st,Petrol,"00,199",",800/month",Zero downpayment
461,Volkswagen Vento,Volkswagen,HIGHLINE TDI AT ,2016,Automatic,"1,11,708",1st,Diesel,"02,799",",633/month",Zero downpayment
462,Skoda Superb,Skoda,1.8 TSI LK AT ,2017,Automatic,"22,446",2nd,Petrol,",46,999",",861/month",Zero downpayment
463,Ford Ecosport,Ford,1.5 TITANIUM PLUS TI VCT AT ,2018,Automatic,"29,959",1st,Petrol,"67,599",",299/month",Zero downpayment
464,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2017,Manual,"14,702",1st,Petrol,"26,399",",934/month",Zero downpayment
465,Volkswagen Polo,Volkswagen,GT TSI 1.2 PETROL AT ,2016,Automatic,"48,730",2nd,Petrol,"26,999",",947/month",Zero downpayment
466,Maruti Alto K10,Maruti,VXI ,2012,Manual,"52,465",1st,Petrol,"29,999",116/month,Zero downpayment
