,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
90,Maruti Alto K10,Maruti,VXI ,2019,Manual,"5,270",1st,Petrol,"4,41,499","9,821/month",Zero downpayment
91,Renault Captur,Renault,PLATINE DUAL TONE ,2017,Manual,"26,909",1st,Diesel,"8,21,799","18,280/month",Zero downpayment
92,Maruti New  Wagon-R,Maruti,1.0 VXI (O) ,2019,Manual,"19,377",1st,Petrol,"5,36,999","11,945/month",Zero downpayment
93,Hyundai Creta,Hyundai,1.6 SX PLUS AUTO PETROL ,2017,Automatic,"44,234",2nd,Petrol,"10,69,099","23,782/month",Zero downpayment
94,Tata Tiago,Tata,XZA 1.2 REVOTRON ,2018,Automatic,"35,836",2nd,Petrol,"5,51,999","12,279/month",Zero downpayment
95,Toyota Fortuner,Toyota,3.0 AT 4X2 ,2012,Automatic,"1,58,977",2nd,Diesel,"14,87,099","33,080/month",Zero downpayment
96,Tata Safari Storme,Tata,2.2 VX 4X2 ,2017,Manual,"44,522",1st,Diesel,"9,45,199","21,025/month",Zero downpayment
97,Honda Amaze,Honda,1.2 SMT I VTEC ,2019,Manual,"42,915",1st,Petrol,"6,51,599","14,494/month",Zero downpayment
98,Ford New Figo,Ford,1.5 TITANIUM AT PETROL ,2016,Automatic,"21,202",2nd,Petrol,"5,80,699","12,917/month",Zero downpayment
99,Maruti Ciaz,Maruti,ZXI ,2014,Manual,"1,20,506",1st,Petrol,"5,83,899","12,989/month",Zero downpayment
100,Honda City,Honda,V MT DIESEL ,2015,Manual,"80,573",1st,Diesel,"6,15,199","13,685/month",Zero downpayment
101,Toyota Innova Crysta,Toyota,2.8 ZX AT 7 STR ,2017,Automatic,"72,222",2nd,Diesel,"19,26,499","42,854/month",Zero downpayment
102,Honda WR-V,Honda,1.2 i-VTEC VX MT ,2018,Manual,"13,989",1st,Petrol,"8,32,499","18,518/month",Zero downpayment
103,Honda City,Honda,VX MT PETROL ,2017,Manual,"34,013",1st,Petrol,"9,33,399","20,763/month",Zero downpayment
104,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2016,Manual,"36,772",1st,Petrol,"6,54,199","14,552/month",Zero downpayment
105,Maruti XL6,Maruti,LPHA SHVS  MT ,2019,Manual,"23,652",1st,Petrol,"9,83,099","21,868/month",Zero downpayment
