,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
246,Maruti Alto K10,Maruti,VXI ,2018,Manual,"51,889",1st,Petrol,"62,799",070/month,Zero downpayment
247,Maruti Alto 800,Maruti,LXI ,2018,Manual,"19,502",1st,Petrol,"00,299",680/month,Zero downpayment
248,Maruti Alto 800,Maruti,LXI ,2018,Manual,"44,704",1st,Petrol,"16,499",040/month,Zero downpayment
249,Maruti Alto K10,Maruti,VXI ,2019,Manual,"39,331",1st,Petrol,"82,799",515/month,Zero downpayment
250,Maruti Alto 800,Maruti,LXI ,2018,Manual,"13,055",1st,Petrol,"00,299",680/month,Zero downpayment
251,Maruti Alto 800,Maruti,LXI ,2017,Manual,"26,164",1st,Petrol,"08,399",860/month,Zero downpayment
252,Maruti Alto 800,Maruti,LXI ,2018,Manual,"63,038",1st,Petrol,"28,099",298/month,Zero downpayment
253,Maruti Alto 800,Maruti,LXI ,2017,Manual,"51,059",2nd,Petrol,"11,099",920/month,Zero downpayment
254,Maruti Alto 800,Maruti,LXI ,2018,Manual,"54,886",1st,Petrol,"40,999",585/month,Zero downpayment
255,Maruti Alto 800,Maruti,LXI ,2018,Manual,"64,790",1st,Petrol,"45,099",677/month,Zero downpayment
256,Maruti Alto K10,Maruti,VXI ,2018,Manual,"56,813",1st,Petrol,"74,799",337/month,Zero downpayment
257,Maruti Alto K10,Maruti,VXI (O) AMT ,2018,Automatic,"1,26,159",1st,Petrol,"89,199",658/month,Zero downpayment
258,Maruti Alto 800,Maruti,LXI ,2018,Manual,"49,886",1st,Petrol,"34,199",434/month,Zero downpayment
259,Maruti Alto 800,Maruti,LXI ,2018,Manual,"40,637",2nd,Petrol,"29,199",323/month,Zero downpayment
260,Maruti Alto K10,Maruti,VXI ,2018,Manual,"46,485",2nd,Petrol,"76,999",386/month,Zero downpayment
261,Maruti Alto K10,Maruti,VXI ,2019,Manual,"30,352",1st,Petrol,"81,399",484/month,Zero downpayment
262,Maruti Alto K10,Maruti,VXI ,2018,Manual,"11,432",1st,Petrol,"72,499",286/month,Zero downpayment
263,Maruti Alto K10,Maruti,VXI (O) AMT ,2017,Automatic,"36,784",2nd,Petrol,"74,199",324/month,Zero downpayment
264,Maruti Alto 800,Maruti,LXI ,2018,Manual,"77,702",1st,Petrol,"48,799",759/month,Zero downpayment
265,Maruti Alto 800,Maruti,LXI ,2018,Manual,"98,554",1st,Petrol,"29,799",336/month,Zero downpayment
266,Maruti Alto K10,Maruti,VXI ,2018,Manual,"30,279",1st,Petrol,"82,399",506/month,Zero downpayment
267,Maruti Alto K10,Maruti,VXI ,2019,Manual,"11,809",1st,Petrol,"99,299",882/month,Zero downpayment
268,Maruti Alto K10,Maruti,VXI ,2018,Manual,"1,05,877",1st,Petrol,"88,199",635/month,Zero downpayment
269,Maruti Alto 800,Maruti,LXI ,2019,Manual,"65,757",1st,Petrol,"65,599",133/month,Zero downpayment
270,Maruti Alto 800,Maruti,VXI ,2019,Manual,"43,667",1st,Petrol,"36,999",496/month,Zero downpayment
271,Maruti Alto 800,Maruti,LXI ,2018,Manual,"32,891",1st,Petrol,"25,199",234/month,Zero downpayment
272,Maruti Alto K10,Maruti,VXI ,2019,Manual,"31,030",1st,Petrol,"91,499",709/month,Zero downpayment
273,Maruti Alto 800,Maruti,LXI ,2018,Manual,"26,685",1st,Petrol,"27,399",283/month,Zero downpayment
274,Maruti Alto 800,Maruti,LXI ,2019,Manual,"11,318",1st,Petrol,"14,799",003/month,Zero downpayment
275,Maruti Alto 800,Maruti,LXI ,2019,Manual,"11,351",1st,Petrol,"14,799",003/month,Zero downpayment
276,Maruti Alto,Maruti,VXI ,2021,Manual,"2,799",1st,Petrol,"06,199",036/month,Zero downpayment
277,Maruti Alto 800,Maruti,LXI ,2018,Manual,"34,350",1st,Petrol,"29,799",336/month,Zero downpayment
278,Maruti Alto K10,Maruti,VXI ,2018,Manual,"7,581",1st,Petrol,"87,899",629/month,Zero downpayment
279,Maruti Alto K10,Maruti,VXI ,2018,Manual,"7,567",1st,Petrol,"86,199",591/month,Zero downpayment
280,Maruti Alto K10,Maruti,VXI ,2018,Manual,"29,232",1st,Petrol,"91,999",720/month,Zero downpayment
281,Maruti Alto K10,Maruti,VXI ,2018,Manual,"23,824",1st,Petrol,"91,199",702/month,Zero downpayment
282,Maruti Alto 800,Maruti,LXI ,2018,Manual,"31,670",1st,Petrol,"43,899",650/month,Zero downpayment
283,Maruti Alto 800,Maruti,LXI ,2019,Manual,220,2nd,Petrol,"14,799",003/month,Zero downpayment
284,Maruti Alto 800,Maruti,LXI ,2018,Manual,"32,403",1st,Petrol,"44,399",661/month,Zero downpayment
285,Maruti Alto,Maruti,LXI ,2021,Manual,"6,481",1st,Petrol,"28,899",541/month,Zero downpayment
286,Maruti Alto,Maruti,VXI ,2021,Manual,"5,139",1st,Petrol,"14,799",227/month,Zero downpayment
287,Maruti Alto K10,Maruti,VXI ,2019,Manual,"22,192",1st,Petrol,"00,399",907/month,Zero downpayment
288,Maruti Alto 800,Maruti,LXI ,2018,Manual,"34,637",1st,Petrol,"48,799",759/month,Zero downpayment
289,Maruti Alto,Maruti,LXI ,2021,Manual,"11,718",2nd,Petrol,"78,499",420/month,Zero downpayment
290,Maruti Alto K10,Maruti,VXI ,2019,Manual,"5,314",1st,Petrol,"10,099",122/month,Zero downpayment
291,Maruti Alto 800,Maruti,LXI ,2018,Manual,"27,259",1st,Petrol,"37,199",501/month,Zero downpayment
292,Maruti Alto 800,Maruti,LXI ,2019,Manual,"14,434",1st,Petrol,"65,599",133/month,Zero downpayment
293,Maruti Alto 800,Maruti,LXI ,2018,Manual,"25,188",1st,Petrol,"48,799",759/month,Zero downpayment
294,Maruti Alto 800,Maruti,LXI ,2019,Manual,"29,371",3rd,Petrol,"65,599",133/month,Zero downpayment
295,Maruti Alto 800,Maruti,LXI ,2018,Manual,"31,506",1st,Petrol,"37,199",501/month,Zero downpayment
296,Maruti Alto K10,Maruti,VXI ,2018,Manual,"22,220",2nd,Petrol,"83,199",524/month,Zero downpayment
297,Maruti Alto 800,Maruti,LXI ,2018,Manual,"11,602",2nd,Petrol,"48,799",759/month,Zero downpayment
298,Maruti Alto,Maruti,VXI ,2021,Manual,"12,523",1st,Petrol,"24,299",438/month,Zero downpayment
299,Maruti Alto 800,Maruti,LXI ,2019,Manual,"16,539",2nd,Petrol,"65,599",133/month,Zero downpayment
300,Maruti XL6,Maruti,ZETA SHVS ,2020,Manual,"22,367",1st,Petrol,",93,899",",333/month",Zero downpayment
301,Mahindra KUV 100 NXT,Mahindra,K2 6 STR ,2019,Manual,"35,188",1st,Petrol,"11,999",165/month,Zero downpayment
302,Hyundai Elite i20,Hyundai,GNA 1.4 CRDI ,2016,Manual,"76,289",1st,Diesel,"32,999",",856/month",Zero downpayment
303,Honda Amaze,Honda,1.2 EXMT I VTEC ,2013,Manual,"40,465",1st,Petrol,"93,999",764/month,Zero downpayment
304,Honda City,Honda,VX MT DIESEL ,2017,Manual,"60,561",1st,Diesel,"33,599",",543/month",Zero downpayment
305,KIA SELTOS,KIA,HTK 1.5 PETROL ,2020,Manual,"11,756",1st,Petrol,",42,399",",412/month",Zero downpayment
306,Hyundai Elite i20,Hyundai,1.2 MAGNA PLUS VTVT ,2019,Manual,"31,962",1st,Petrol,"38,999",",214/month",Zero downpayment
307,Hyundai Elite i20,Hyundai,1.2 SPORTS PLUS VTVT ,2019,Manual,"13,662",1st,Petrol,"15,599",",918/month",Zero downpayment
308,Renault Kwid,Renault,1.0 RXT Opt ,2017,Manual,"98,239",2nd,Petrol,"02,699",733/month,Zero downpayment
309,Hyundai Grand i10,Hyundai,SPORTS 1.2 VTVT ,2014,Manual,"73,621",1st,Petrol,"88,999",653/month,Zero downpayment
310,Hyundai Elite i20,Hyundai,STA 1.2 (O) ,2018,Manual,"64,201",1st,Petrol,"78,999",",104/month",Zero downpayment
311,Toyota Corolla Altis,Toyota,VL AT ,2016,Automatic,"84,423",1st,Petrol,",11,699",",505/month",Zero downpayment
312,Maruti Dzire,Maruti,VXI ,2018,Manual,"51,916",1st,Petrol,"85,599",",251/month",Zero downpayment
313,Ford Ecosport,Ford,1.5 TITANIUM TI VCT ,2020,Manual,"6,190",1st,Petrol,"29,299",",672/month",Zero downpayment
314,Maruti Swift,Maruti,VDI ,2016,Manual,"76,098",2nd,Diesel,"18,499",",534/month",Zero downpayment
315,Hyundai GRAND I10 NIOS,Hyundai,SPORTZ 1.2 AT ,2020,Automatic,"12,800",1st,Petrol,"01,799",",611/month",Zero downpayment
316,Hyundai Eon,Hyundai,ERA PLUS ,2015,Manual,"76,659",1st,Petrol,"80,499",240/month,Zero downpayment
317,MG HECTOR,MG,SHARP DCT PETROL ,2019,,"36,411",1st,Petrol,",01,699",",404/month",Zero downpayment
318,Maruti Swift,Maruti,LDI BS IV ,2015,Manual,"1,59,948",1st,Diesel,"25,799",472/month,Zero downpayment
319,Maruti XL6,Maruti,LPHA SHVS  MT ,2020,Manual,"9,504",1st,Petrol,",45,799",",488/month",Zero downpayment
320,Hyundai Verna,Hyundai,1.6 SX VTVT (O) ,2019,Manual,"74,800",1st,Petrol,",34,499",",012/month",Zero downpayment
321,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2016,Manual,"1,07,588",1st,Diesel,"16,399",",711/month",Zero downpayment
322,Hyundai Creta,Hyundai,1.6 SX CRDI ,2018,Manual,"80,569",1st,Diesel,",38,599",",328/month",Zero downpayment
323,Maruti Vitara Brezza,Maruti,VDI ,2019,Manual,"46,371",1st,Diesel,"23,799",",325/month",Zero downpayment
324,Maruti Alto 800,Maruti,LXI ,2015,Manual,"42,072",1st,Petrol,"57,599",730/month,Zero downpayment
325,Ford Ecosport,Ford,1.5TITANIUM TDCI ,2017,Manual,"1,66,839",1st,Diesel,"37,799",",187/month",Zero downpayment
326,Maruti Wagon R 1.0,Maruti,VXI ,2016,Manual,"77,948",1st,Petrol,"73,699",313/month,Zero downpayment
327,Maruti IGNIS,Maruti,ZETA 1.2 K12 ,2019,Manual,"28,319",1st,Petrol,"60,799",",475/month",Zero downpayment
328,Honda Brio,Honda,1.2 S MT I VTEC ,2015,Manual,"38,731",2nd,Petrol,"72,799",293/month,Zero downpayment
329,Maruti Alto 800,Maruti,LXI ,2017,Manual,"69,119",1st,Petrol,"77,099",164/month,Zero downpayment
